date,total_assets
2002-12-01,
2003-01-01,724718.0
2003-02-01,721326.0
2003-03-01,723651.0
2003-04-01,736926.0
2003-05-01,738358.0
2003-06-01,738712.0
2003-07-01,741656.0
2003-08-01,740217.0
2003-09-01,743207.0
2003-10-01,747068.0
2003-11-01,747801.0
2003-12-01,759810.0
2004-01-01,759938.0
2004-02-01,753644.0
2004-03-01,755538.0
2004-04-01,762182.0
2004-05-01,762914.0
2004-06-01,770590.0
2004-07-01,776095.0
2004-08-01,771096.0
2004-09-01,786291.0
2004-10-01,788388.0
2004-11-01,798768.0
2004-12-01,808973.0
2005-01-01,807095.0
2005-02-01,800557.0
2005-03-01,802472.0
2005-04-01,803656.0
2005-05-01,805624.0
2005-06-01,812643.0
2005-07-01,815370.0
2005-08-01,815142.0
2005-09-01,820697.0
2005-10-01,819207.0
2005-11-01,826202.0
2005-12-01,840054.0
2006-01-01,836539.0
2006-02-01,833804.0
2006-03-01,838656.0
2006-04-01,838094.0
2006-05-01,842451.0
2006-06-01,846038.0
2006-07-01,846874.0
2006-08-01,844411.0
2006-09-01,844411.0
2006-10-01,849621.0
2006-11-01,858303.0
2006-12-01,862757.0
2007-01-01,861259.0
2007-02-01,867225.0
2007-03-01,868371.0
2007-04-01,867195.0
2007-05-01,875321.0
2007-06-01,867222.0
2007-07-01,870706.0
2007-08-01,867259.0
2007-09-01,878776.0
2007-10-01,877941.0
2007-11-01,886427.0
2007-12-01,885790.0
2008-01-01,894808.0
2008-02-01,881700.0
2008-03-01,890096.0
2008-04-01,886511.0
2008-05-01,892986.0
2008-06-01,895392.0
2008-07-01,905993.0
2008-08-01,906234.0
2008-09-01,1009474.0
2008-10-01,1727615.0
2008-11-01,2145078.0
2008-12-01,2222737.0
2009-01-01,2033837.0
2009-02-01,1881629.0
2009-03-01,1984832.0
2009-04-01,2123506.0
2009-05-01,2134464.0
2009-06-01,2057023.0
2009-07-01,2022073.0
2009-08-01,2034911.0
2009-09-01,2122220.0
2009-10-01,2173382.0
2009-11-01,2178796.0
2009-12-01,2219218.0
2010-01-01,2256424.0
2010-02-01,2267425.0
2010-03-01,2298183.0
2010-04-01,2328737.0
2010-05-01,2336800.0
2010-06-01,2337482.0
2010-07-01,2332589.0
2010-08-01,2317172.0
2010-09-01,2301948.0
2010-10-01,2304649.0
2010-11-01,2318470.0
2010-12-01,2392692.0
2011-01-01,2443222.0
2011-02-01,2502997.0
2011-03-01,2585821.0
2011-04-01,2672713.0
2011-05-01,2749065.0
2011-06-01,2829826.0
2011-07-01,2870764.0
2011-08-01,2862173.0
2011-09-01,2857717.0
2011-10-01,2854650.0
2011-11-01,2825922.0
2011-12-01,2891340.0
2012-01-01,2913952.0
2012-02-01,2929930.0
2012-03-01,2887273.0
2012-04-01,2868677.0
2012-05-01,2856313.0
2012-06-01,2863871.0
2012-07-01,2858675.0
2012-08-01,2835817.0
2012-09-01,2817912.0
2012-10-01,2826231.0
2012-11-01,2857640.0
2012-12-01,2901150.0
2013-01-01,2966026.0
2013-02-01,3068738.0
2013-03-01,3170836.0
2013-04-01,3264238.0
2013-05-01,3355984.0
2013-06-01,3440057.0
2013-07-01,3536214.0
2013-08-01,3630452.0
2013-09-01,3693107.0
2013-10-01,3800416.0
2013-11-01,3897886.0
2013-12-01,3991805.0
2014-01-01,4064681.0
2014-02-01,4134489.0
2014-03-01,4200544.0
2014-04-01,4271397.0
2014-05-01,4322502.0
2014-06-01,4352084.0
2014-07-01,4395203.0
2014-08-01,4417174.0
2014-09-01,4436408.0
2014-10-01,4469679.0
2014-11-01,4488543.0
2014-12-01,4496885.0
2015-01-01,4507150.0
2015-02-01,4496402.0
2015-03-01,4488338.0
2015-04-01,4482356.0
2015-05-01,4479564.0
2015-06-01,4479059.0
2015-07-01,4488001.0
2015-08-01,4484473.0
2015-09-01,4484701.0
2015-10-01,4495400.0
2015-11-01,4486381.0
2015-12-01,4486242.0
2016-01-01,4489873.0
2016-02-01,4485800.0
2016-03-01,4484320.0
2016-04-01,4487149.0
2016-05-01,4472633.0
2016-06-01,4469249.0
2016-07-01,4472070.0
2016-08-01,4466789.0
2016-09-01,4466516.0
2016-10-01,4459703.0
2016-11-01,4454779.0
2016-12-01,4460033.0
2017-01-01,4454802.0
2017-02-01,4458374.0
2017-03-01,4467058.0
2017-04-01,4477135.0
2017-05-01,4468516.0
2017-06-01,4469079.0
2017-07-01,4469040.0
2017-08-01,4462999.0
2017-09-01,4459721.0
2017-10-01,4462669.0
2017-11-01,4450387.0
2017-12-01,4446506.0
2018-01-01,4437893.0
2018-02-01,4415167.0
2018-03-01,4399194.0
2018-04-01,4382144.0
2018-05-01,4343353.0
2018-06-01,4316371.0
2018-07-01,4287565.0
2018-08-01,4238068.0
2018-09-01,4205069.0
2018-10-01,4167971.0
2018-11-01,4122799.0
2018-12-01,4083567.0
2019-01-01,4050343.0
2019-02-01,4002698.0
2019-03-01,3964765.0
2019-04-01,3933098.0
2019-05-01,3871707.0
2019-06-01,3842108.0
2019-07-01,3803777.0
2019-08-01,3773093.0
2019-09-01,3808398.0
2019-10-01,3970156.0
2019-11-01,4042612.0
2019-12-01,4115958.0
2020-01-01,4159312.0
2020-02-01,4169901.0
2020-03-01,4618977.0
2020-04-01,6298340.0
2020-05-01,6947555.0
2020-06-01,7127786.0
2020-07-01,6960429.0
2020-08-01,6975892.0
2020-09-01,7048374.0
2020-10-01,7137412.0
2020-11-01,7198114.0
2020-12-01,7319011.0
2021-01-01,7372161.0
2021-02-01,7500084.0
2021-03-01,7647908.0
2021-04-01,7775974.0
2021-05-01,7866893.0
2021-06-01,8026555.0
2021-07-01,8190357.0
2021-08-01,8291893.0
2021-09-01,8418612.0
2021-10-01,8516525.0
2021-11-01,8648682.0
2021-12-01,8723909.0
2022-01-01,8820580.0
2022-02-01,8897596.0
2022-03-01,8933825.0
2022-04-01,8949532.0
2022-05-01,8935540.0
2022-06-01,8922725.0
2022-07-01,8894234.0
2022-08-01,8856210.0
2022-09-01,8816882.0
2022-10-01,8746259.0
2022-11-01,8637468.0
2022-12-01,8570432.0
2023-01-01,8493903.0
2023-02-01,8408984.0
2023-03-01,8552199.0
2023-04-01,8600803.0
2023-05-01,8457176.0
2023-06-01,8370156.0
2023-07-01,8278283.0
