date,CPI
1946-12-31,21.48
1947-01-31,21.62
1947-02-28,22.0
1947-03-31,22.0
1947-04-30,21.95
1947-05-31,22.08
1947-06-30,22.23
1947-07-31,22.4
1947-08-31,22.84
1947-09-30,22.91
1947-10-31,23.06
1947-11-30,23.41
1947-12-31,23.68
1948-01-31,23.67
1948-02-29,23.5
1948-03-31,23.82
1948-04-30,24.01
1948-05-31,24.15
1948-06-30,24.4
1948-07-31,24.43
1948-08-31,24.36
1948-09-30,24.31
1948-10-31,24.16
1948-11-30,24.05
1948-12-31,24.01
1949-01-31,23.91
1949-02-28,23.91
1949-03-31,23.92
1949-04-30,23.91
1949-05-31,23.92
1949-06-30,23.7
1949-07-31,23.7
1949-08-31,23.75
1949-09-30,23.67
1949-10-31,23.7
1949-11-30,23.61
1949-12-31,23.51
1950-01-31,23.61
1950-02-28,23.64
1950-03-31,23.65
1950-04-30,23.77
1950-05-31,23.88
1950-06-30,24.07
1950-07-31,24.2
1950-08-31,24.34
1950-09-30,24.5
1950-10-31,24.6
1950-11-30,24.98
1950-12-31,25.38
1951-01-31,25.83
1951-02-28,25.88
1951-03-31,25.92
1951-04-30,25.99
1951-05-31,25.93
1951-06-30,25.91
1951-07-31,25.86
1951-08-31,26.03
1951-09-30,26.16
1951-10-31,26.32
1951-11-30,26.47
1951-12-31,26.45
1952-01-31,26.41
1952-02-29,26.39
1952-03-31,26.46
1952-04-30,26.47
1952-05-31,26.53
1952-06-30,26.68
1952-07-31,26.69
1952-08-31,26.63
1952-09-30,26.69
1952-10-31,26.69
1952-11-30,26.71
1952-12-31,26.64
1953-01-31,26.59
1953-02-28,26.63
1953-03-31,26.69
1953-04-30,26.7
1953-05-31,26.77
1953-06-30,26.79
1953-07-31,26.85
1953-08-31,26.89
1953-09-30,26.95
1953-10-31,26.85
1953-11-30,26.87
1953-12-31,26.94
1954-01-31,26.99
1954-02-28,26.93
1954-03-31,26.86
1954-04-30,26.93
1954-05-31,26.94
1954-06-30,26.86
1954-07-31,26.85
1954-08-31,26.81
1954-09-30,26.72
1954-10-31,26.78
1954-11-30,26.77
1954-12-31,26.77
1955-01-31,26.82
1955-02-28,26.79
1955-03-31,26.79
