date,corporate_liquidity
1945-09-30,38652.0
1945-12-31,
1946-03-31,
1946-06-30,
1946-09-30,33594.0
1946-12-31,
1947-03-31,
1947-06-30,
1947-09-30,35155.0
1947-12-31,
1948-03-31,
1948-06-30,
1948-09-30,36256.0
1948-12-31,
1949-03-31,
1949-06-30,
1949-09-30,39260.0
1949-12-31,
1950-03-31,
1950-06-30,
1950-09-30,43844.0
1950-12-31,
1951-03-31,
1951-06-30,
1951-09-30,46437.0
1951-12-31,44320.0
1952-03-31,44407.0
1952-06-30,45403.0
1952-09-30,46271.0
1952-12-31,43832.0
1953-03-31,44265.0
1953-06-30,46317.0
1953-09-30,48013.0
1953-12-31,43933.0
1954-03-31,42616.0
1954-06-30,45623.0
1954-09-30,48373.0
1954-12-31,47075.0
1955-03-31,47332.0
1955-06-30,49775.0
1955-09-30,53428.0
1955-12-31,48103.0
1956-03-31,45793.0
1956-06-30,46012.0
1956-09-30,48893.0
1956-12-31,46040.0
1957-03-31,44855.0
1957-06-30,46193.0
1957-09-30,48458.0
1957-12-31,44739.0
1958-03-31,44427.0
1958-06-30,46311.0
1958-09-30,50992.0
1958-12-31,49647.0
1959-03-31,51702.0
1959-06-30,53499.0
1959-09-30,56185.0
1959-12-31,52292.0
1960-03-31,51288.0
1960-06-30,50106.0
1960-09-30,51429.0
1960-12-31,49426.0
1961-03-31,51109.0
1961-06-30,50719.0
1961-09-30,54837.0
1961-12-31,53264.0
1962-03-31,53622.0
1962-06-30,53162.0
1962-09-30,58105.0
1962-12-31,67576.0
1963-03-31,68969.0
1963-06-30,69418.0
1963-09-30,74206.0
1963-12-31,72583.0
1964-03-31,74198.0
1964-06-30,73861.0
1964-09-30,75767.0
1964-12-31,73825.0
1965-03-31,73394.0
1965-06-30,73908.0
1965-09-30,78654.0
1965-12-31,75840.0
1966-03-31,75255.0
1966-06-30,72715.0
1966-09-30,78598.0
1966-12-31,77495.0
1967-03-31,75704.0
1967-06-30,77691.0
1967-09-30,82641.0
1967-12-31,83473.0
1968-03-31,86326.0
1968-06-30,87475.0
1968-09-30,93523.0
1968-12-31,95873.0
1969-03-31,95874.0
1969-06-30,94570.0
1969-09-30,98322.0
1969-12-31,97055.0
1970-03-31,91073.0
1970-06-30,95107.0
1970-09-30,102797.0
1970-12-31,105316.0
1971-03-31,107243.0
1971-06-30,108552.0
1971-09-30,115931.0
1971-12-31,118221.0
1972-03-31,118055.0
1972-06-30,119739.0
1972-09-30,128464.0
1972-12-31,132883.0
1973-03-31,136124.0
1973-06-30,143040.0
1973-09-30,148592.0
1973-12-31,154291.0
1974-03-31,154128.0
1974-06-30,148444.0
1974-09-30,159699.0
1974-12-31,162239.0
1975-03-31,174538.0
1975-06-30,165463.0
1975-09-30,178680.0
1975-12-31,194385.0
1976-03-31,194766.0
1976-06-30,191733.0
1976-09-30,203971.0
1976-12-31,197672.0
1977-03-31,201068.0
1977-06-30,201822.0
1977-09-30,215987.0
1977-12-31,204800.0
1978-03-31,211613.0
1978-06-30,213796.0
1978-09-30,227562.0
1978-12-31,232881.0
1979-03-31,232143.0
1979-06-30,234080.0
1979-09-30,249366.0
1979-12-31,246482.0
1980-03-31,253972.0
1980-06-30,270385.0
1980-09-30,294040.0
1980-12-31,292338.0
1981-03-31,292002.0
1981-06-30,281869.0
1981-09-30,299093.0
1981-12-31,278512.0
1982-03-31,270699.0
1982-06-30,289292.0
1982-09-30,339325.0
1982-12-31,352670.0
1983-03-31,384469.0
1983-06-30,383138.0
1983-09-30,416906.0
1983-12-31,439947.0
1984-03-31,433350.0
1984-06-30,435543.0
1984-09-30,461304.0
1984-12-31,458922.0
1985-03-31,484517.0
1985-06-30,474749.0
1985-09-30,535039.0
1985-12-31,556810.0
1986-03-31,590924.0
1986-06-30,578008.0
1986-09-30,611046.0
1986-12-31,660283.0
1987-03-31,671720.0
1987-06-30,692114.0
1987-09-30,615546.0
1987-12-31,601302.0
1988-03-31,598251.0
1988-06-30,577560.0
1988-09-30,575230.0
1988-12-31,588162.0
1989-03-31,619872.0
1989-06-30,639255.0
1989-09-30,674874.0
1989-12-31,628278.0
1990-03-31,646972.0
1990-06-30,592592.0
1990-09-30,640760.0
1990-12-31,653370.0
1991-03-31,663787.0
1991-06-30,713289.0
1991-09-30,769239.0
1991-12-31,732731.0
1992-03-31,754065.0
1992-06-30,753816.0
1992-09-30,791598.0
1992-12-31,800574.0
1993-03-31,825985.0
1993-06-30,856819.0
1993-09-30,910580.0
1993-12-31,887192.0
1994-03-31,879015.0
1994-06-30,886703.0
1994-09-30,898296.0
1994-12-31,885451.0
1995-03-31,966861.0
1995-06-30,980248.0
1995-09-30,1059409.0
1995-12-31,1058336.0
1996-03-31,1119357.0
1996-06-30,1165948.0
1996-09-30,1266367.0
1996-12-31,1306646.0
1997-03-31,1442874.0
1997-06-30,1527738.0
1997-09-30,1576050.0
1997-12-31,1801402.0
1998-03-31,1855862.0
1998-06-30,1775581.0
1998-09-30,2048905.0
1998-12-31,2239211.0
1999-03-31,2496825.0
1999-06-30,2527048.0
1999-09-30,2966754.0
1999-12-31,2977990.0
2000-03-31,2900452.0
2000-06-30,2869929.0
2000-09-30,2697190.0
2000-12-31,2357043.0
2001-03-31,2401818.0
2001-06-30,2146844.0
2001-09-30,2304014.0
2001-12-31,2300284.0
2002-03-31,2118686.0
2002-06-30,1900915.0
2002-09-30,2015247.0
2002-12-31,1969596.0
2003-03-31,2134969.0
2003-06-30,2171395.0
2003-09-30,2274243.0
2003-12-31,2324355.0
2004-03-31,2358744.0
2004-06-30,2375506.0
2004-09-30,2474929.0
2004-12-31,2413347.0
2005-03-31,2409139.0
2005-06-30,2465583.0
2005-09-30,2550186.0
2005-12-31,2493249.0
2006-03-31,2396694.0
2006-06-30,2405773.0
2006-09-30,2477761.0
2006-12-31,2437327.0
2007-03-31,2543211.0
2007-06-30,2589043.0
2007-09-30,2546850.0
2007-12-31,2453394.0
2008-03-31,2487140.0
2008-06-30,2398253.0
2008-09-30,2171028.0
2008-12-31,2082905.0
2009-03-31,2176422.0
2009-06-30,2387335.0
2009-09-30,2499412.0
2009-12-31,2487184.0
2010-03-31,2337618.0
2010-06-30,2467271.0
2010-09-30,2661136.0
2010-12-31,2643232.0
2011-03-31,2720143.0
2011-06-30,2474388.0
2011-09-30,2662083.0
2011-12-31,2649095.0
2012-03-31,2624649.0
2012-06-30,2725166.0
2012-09-30,2798512.0
2012-12-31,2918014.0
2013-03-31,2893136.0
2013-06-30,3057801.0
2013-09-30,3325241.0
2013-12-31,3234357.0
2014-03-31,3359364.0
2014-06-30,3410357.0
2014-09-30,3650348.0
2014-12-31,3531368.0
2015-03-31,3529204.0
2015-06-30,3494827.0
2015-09-30,3679896.0
2015-12-31,3592080.0
2016-03-31,3651716.0
2016-06-30,3913550.0
2016-09-30,3984314.0
2016-12-31,3980684.0
2017-03-31,4053497.0
2017-06-30,4246931.0
2017-09-30,4374793.0
2017-12-31,4290389.0
2018-03-31,4365331.0
2018-06-30,4551710.0
2018-09-30,4276801.0
2018-12-31,4493882.0
2019-03-31,4750341.0
2019-06-30,5041839.0
2019-09-30,5214767.0
2019-12-31,5196750.0
2020-03-31,5997566.0
2020-06-30,6110786.0
2020-09-30,6186285.0
2020-12-31,6376871.0
2021-03-31,6728880.0
2021-06-30,6906711.0
2021-09-30,7275900.0
2021-12-31,6935871.0
2022-03-31,6189642.0
2022-06-30,6006974.0
2022-09-30,6324169.0
2022-12-31,6498217.0
