date,corporate_liquidity
1945-10-01,38652.0
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,33594.0
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,35155.0
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,36256.0
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,39260.0
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,43844.0
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,46437.0
1952-01-01,44320.0
1952-04-01,44407.0
1952-07-01,45403.0
1952-10-01,46271.0
1953-01-01,43832.0
1953-04-01,44265.0
1953-07-01,46317.0
1953-10-01,48013.0
1954-01-01,43933.0
1954-04-01,42616.0
1954-07-01,45623.0
1954-10-01,48373.0
1955-01-01,47075.0
1955-04-01,47332.0
1955-07-01,49775.0
1955-10-01,53428.0
1956-01-01,48103.0
1956-04-01,45793.0
1956-07-01,46012.0
1956-10-01,48893.0
1957-01-01,46040.0
1957-04-01,44855.0
1957-07-01,46193.0
1957-10-01,48458.0
1958-01-01,44739.0
1958-04-01,44427.0
1958-07-01,46311.0
1958-10-01,50992.0
1959-01-01,49647.0
1959-04-01,51702.0
1959-07-01,53499.0
1959-10-01,56185.0
1960-01-01,52292.0
1960-04-01,51288.0
1960-07-01,50106.0
1960-10-01,51429.0
1961-01-01,49426.0
1961-04-01,51109.0
1961-07-01,50719.0
1961-10-01,54837.0
1962-01-01,53264.0
1962-04-01,53622.0
1962-07-01,53162.0
1962-10-01,58105.0
1963-01-01,67576.0
1963-04-01,68969.0
1963-07-01,69418.0
1963-10-01,74206.0
1964-01-01,72583.0
1964-04-01,74198.0
1964-07-01,73861.0
1964-10-01,75767.0
1965-01-01,73825.0
1965-04-01,73394.0
1965-07-01,73908.0
1965-10-01,78654.0
1966-01-01,75840.0
1966-04-01,75255.0
1966-07-01,72715.0
1966-10-01,78598.0
1967-01-01,77495.0
1967-04-01,75704.0
1967-07-01,77691.0
1967-10-01,82641.0
1968-01-01,83473.0
1968-04-01,86326.0
1968-07-01,87475.0
1968-10-01,93523.0
1969-01-01,95873.0
1969-04-01,95874.0
1969-07-01,94570.0
1969-10-01,98322.0
1970-01-01,97055.0
1970-04-01,91073.0
1970-07-01,95107.0
1970-10-01,102797.0
1971-01-01,105316.0
1971-04-01,107243.0
1971-07-01,108552.0
1971-10-01,115931.0
1972-01-01,118221.0
1972-04-01,118055.0
1972-07-01,119739.0
1972-10-01,128464.0
1973-01-01,132883.0
1973-04-01,136124.0
1973-07-01,143040.0
1973-10-01,148592.0
1974-01-01,154291.0
1974-04-01,154128.0
1974-07-01,148444.0
1974-10-01,159699.0
1975-01-01,162239.0
1975-04-01,174538.0
1975-07-01,165463.0
1975-10-01,178680.0
1976-01-01,194385.0
1976-04-01,194766.0
1976-07-01,191733.0
1976-10-01,203971.0
1977-01-01,197672.0
1977-04-01,201068.0
1977-07-01,201822.0
1977-10-01,215987.0
1978-01-01,204800.0
1978-04-01,211613.0
1978-07-01,213796.0
1978-10-01,227562.0
1979-01-01,232881.0
1979-04-01,232143.0
1979-07-01,234080.0
1979-10-01,249366.0
1980-01-01,246482.0
1980-04-01,253972.0
1980-07-01,270385.0
1980-10-01,294040.0
1981-01-01,292338.0
1981-04-01,292002.0
1981-07-01,281869.0
1981-10-01,299093.0
1982-01-01,278512.0
1982-04-01,270699.0
1982-07-01,289292.0
1982-10-01,339325.0
1983-01-01,352670.0
1983-04-01,384469.0
1983-07-01,383138.0
1983-10-01,416906.0
1984-01-01,439947.0
1984-04-01,433350.0
1984-07-01,435543.0
1984-10-01,461304.0
1985-01-01,458922.0
1985-04-01,484517.0
1985-07-01,474749.0
1985-10-01,535039.0
1986-01-01,556810.0
1986-04-01,590924.0
1986-07-01,578008.0
1986-10-01,611046.0
1987-01-01,660283.0
1987-04-01,671720.0
1987-07-01,692114.0
1987-10-01,615546.0
1988-01-01,601302.0
1988-04-01,598251.0
1988-07-01,577560.0
1988-10-01,575230.0
1989-01-01,588162.0
1989-04-01,619872.0
1989-07-01,639255.0
1989-10-01,674874.0
1990-01-01,628278.0
1990-04-01,646972.0
1990-07-01,592592.0
1990-10-01,640760.0
1991-01-01,653370.0
1991-04-01,663787.0
1991-07-01,713289.0
1991-10-01,769239.0
1992-01-01,732731.0
1992-04-01,754065.0
1992-07-01,753816.0
1992-10-01,791598.0
1993-01-01,800574.0
1993-04-01,825985.0
1993-07-01,856819.0
1993-10-01,910580.0
1994-01-01,887192.0
1994-04-01,879015.0
1994-07-01,886703.0
1994-10-01,898296.0
1995-01-01,885451.0
1995-04-01,966861.0
1995-07-01,980248.0
1995-10-01,1059409.0
1996-01-01,1058336.0
1996-04-01,1119357.0
1996-07-01,1165948.0
1996-10-01,1266367.0
1997-01-01,1306646.0
1997-04-01,1442874.0
1997-07-01,1527738.0
1997-10-01,1576050.0
1998-01-01,1801402.0
1998-04-01,1855862.0
1998-07-01,1775581.0
1998-10-01,2048905.0
1999-01-01,2239211.0
1999-04-01,2496825.0
1999-07-01,2527048.0
1999-10-01,2966754.0
2000-01-01,2977990.0
2000-04-01,2900452.0
2000-07-01,2869929.0
2000-10-01,2697190.0
2001-01-01,2357043.0
2001-04-01,2401818.0
2001-07-01,2146844.0
2001-10-01,2304014.0
2002-01-01,2300284.0
2002-04-01,2118686.0
2002-07-01,1900915.0
2002-10-01,2015247.0
2003-01-01,1969596.0
2003-04-01,2134969.0
2003-07-01,2171395.0
2003-10-01,2274243.0
2004-01-01,2324355.0
2004-04-01,2358744.0
2004-07-01,2375506.0
2004-10-01,2474929.0
2005-01-01,2413347.0
2005-04-01,2409139.0
2005-07-01,2465583.0
2005-10-01,2550186.0
2006-01-01,2493249.0
2006-04-01,2396694.0
2006-07-01,2405773.0
2006-10-01,2477761.0
2007-01-01,2437327.0
2007-04-01,2543211.0
2007-07-01,2589043.0
2007-10-01,2546850.0
2008-01-01,2453394.0
2008-04-01,2487140.0
2008-07-01,2398253.0
2008-10-01,2171028.0
2009-01-01,2082905.0
2009-04-01,2176422.0
2009-07-01,2387335.0
2009-10-01,2499412.0
2010-01-01,2487184.0
2010-04-01,2337618.0
2010-07-01,2467271.0
2010-10-01,2661136.0
2011-01-01,2643232.0
2011-04-01,2720143.0
2011-07-01,2474388.0
2011-10-01,2662083.0
2012-01-01,2649095.0
2012-04-01,2624649.0
2012-07-01,2725166.0
2012-10-01,2798512.0
2013-01-01,2918014.0
2013-04-01,2893136.0
2013-07-01,3057801.0
2013-10-01,3325241.0
2014-01-01,3234357.0
2014-04-01,3359364.0
2014-07-01,3410357.0
2014-10-01,3650348.0
2015-01-01,3531368.0
2015-04-01,3529204.0
2015-07-01,3494827.0
2015-10-01,3679896.0
2016-01-01,3592080.0
2016-04-01,3651716.0
2016-07-01,3913550.0
2016-10-01,3984314.0
2017-01-01,3980684.0
2017-04-01,4053497.0
2017-07-01,4246931.0
2017-10-01,4374793.0
2018-01-01,4290389.0
2018-04-01,4365331.0
2018-07-01,4551710.0
2018-10-01,4276801.0
2019-01-01,4493882.0
2019-04-01,4750341.0
2019-07-01,5041839.0
2019-10-01,5214767.0
2020-01-01,5196750.0
2020-04-01,5997566.0
2020-07-01,6110786.0
2020-10-01,6186285.0
2021-01-01,6376871.0
2021-04-01,6728880.0
2021-07-01,6906711.0
2021-10-01,7275900.0
2022-01-01,6935871.0
2022-04-01,6189642.0
2022-07-01,6006974.0
2022-10-01,6324169.0
2023-01-01,6498217.0
