City,2012-03-31,2022-06-30,Percent Gain
New York,160318.08370085963,453193.7207347985,182.6840929438882
Los Angeles,190528.4557489406,649398.6390806763,240.8407613067462
Houston,55709.87327185166,179543.12901029666,222.28242224527514
San Antonio,57723.24427359892,175074.78479669266,203.3003203473219
Philadelphia,29394.03638532121,124465.16357232293,323.436788131889
San Diego,192534.58445110093,640818.1740538235,232.83276138712398
Austin,128599.18898361186,437698.38231809903,240.35858684449204
San Jose,274377.79014273896,911015.5474765828,232.02962492067857
Charlotte,65566.18743844575,281878.10708854324,329.9138292174964
Fort Worth,58842.62416028534,212579.4787865412,261.2678425208941
Orlando,55518.48020151078,235058.89264252584,323.3885578087733
San Francisco,359202.5305658656,958500.9938279212,166.84138118903493
Tucson,64595.73123652369,230743.2390818348,257.211281093708
Louisville,55087.98754488653,136511.548608328,147.8063815584048
Denver,102217.70964351446,395527.1076550677,286.9457739118529
Seattle,205272.51429631247,589506.1634734441,187.18221993544023
Portland,146454.62186285,419255.5409592511,186.26992827298432
Nashville,75971.3313929118,308140.29062884743,305.6007509401069
Washington,175341.5452053589,398147.0892007611,127.06945392459828
Boston,188763.64119121947,508419.3939343155,169.3418026511162
Pittsburgh,34934.64529263754,140839.63093241118,303.15174163824435
Albuquerque,112308.98570241909,235507.82369835977,109.69633215491416
Fresno,60880.71258399886,255640.2103096709,319.90344636153327
Omaha,66564.55010235572,178222.18853773817,167.74339834594767
Oklahoma City,35946.46440305679,107154.31467325562,198.09416990713422
Raleigh,112303.12195335094,311682.15421429795,177.5365001373391
Colorado Springs,128579.59958003386,365034.22469835466,183.89746576488642
Long Beach,175959.2921162202,563400.3643482636,220.18790117440378
Bakersfield,81257.73895334771,281378.9342080107,246.27955174775173
Tulsa,32836.73561576307,95960.1416298056,192.23410862966696
Minneapolis,69564.04128965027,231158.57931417844,232.2960757148682
Aurora,104031.97990368154,375925.7337030946,261.3559350222375
Spring,98043.54019246662,247911.07412347788,152.85814204261735
Honolulu,213742.7234912092,398776.713621016,86.56855639692307
Knoxville,65183.97827079919,198388.3401055323,204.35138414128576
Arlington,84942.57706682417,255493.39922113888,200.78366826584818
Baton Rouge,53841.56936430156,99627.47682816442,85.03821118969866
Wichita,49235.656092543366,97454.27790826764,97.93435417026338
Riverside,132117.4754926311,490421.3216667836,271.2009481244871
Anaheim,240487.7577788937,688579.4295463717,186.32618803800273
Vancouver,135762.71942385513,412541.4536746087,203.8694683086322
Marietta,89124.51695614056,315895.6473697783,254.44304009550484
Columbia,54352.90880952043,127125.65116888729,133.8893243311019
Greensboro,36660.35060681299,143312.34242166157,290.91918121216304
Fort Wayne,42463.13492042543,126548.40680255032,198.0194633290689
Lexington,88093.45436931965,180162.56068863487,104.51299359124708
Naples,106942.48144197112,358833.8989484522,235.53915535722987
Henderson,95689.58822431824,364799.4514910444,281.23212594025506
