2007-03-31,2012-03-31,Percent Gain,State
779510.789593388,675329.2816392487,-13.364986007247303,NY
1119677.25093933,715248.5194033753,-36.12011686373619,CA
260397.09687477423,242989.8036986492,-6.684902936723702,TX
595495.7613339624,386799.2258858264,-35.0458473424962,IL
216824.5805881678,203900.22222735756,-5.960744084342773,TX
264370.9458235727,223424.01127725584,-15.488439706851409,PA
479671.89419680205,233402.52446016777,-51.341213174269015,AZ
591204.8469219328,227996.17911558264,-61.435333234727516,NV
920407.3783339466,669227.6603057937,-27.290059156503045,CA
311955.81009282195,281951.926149482,-9.617991706713946,TX
400245.3948118756,383726.7236013861,-4.127135858303532,TX
1071571.9702363575,747508.9739523277,-30.241832120016255,CA
320472.0389046376,193952.55165809335,-39.47910328744546,FL
332438.6269747599,271852.1293228872,-18.224867008752465,NC
182856.37454286905,162661.8776662801,-11.043911882795488,IN
229990.37536652395,203549.82448227075,-11.496372768693575,TX
447132.9097338939,212387.174032146,-52.50021427442104,FL
1401326.267938147,1098084.250871111,-21.63964410038597,CA
386919.8637878316,232464.6555112513,-39.91917260708956,AZ
202056.0376789173,171323.35150286974,-15.209981611578549,OH
738811.2569570431,367643.8636284276,-50.238459394534694,FL
233475.7711679718,219004.95865323124,-6.197993240304878,KY
207780.38446087227,196122.4757783849,-5.6106878003600595,TX
472338.526698054,419346.7668981194,-11.219021274927666,CO
837358.6325837901,614941.9653250684,-26.561697533638984,WA
537085.0072628794,427069.17934848,-20.483876188439474,OR
333418.6518272988,291845.9129420219,-12.468630251318501,TN
769017.9723308681,709737.2703537061,-7.708623739635656,DC
524257.5394827735,264300.04588207154,-49.58583787982774,CA
705914.7894612824,645611.2447633649,-8.54260961778943,MA
149538.15821100815,26863.57767358782,-82.03563692707681,MI
195474.0467756514,210018.3531558265,7.440530658715949,PA
315806.0092688997,258812.9232547637,-18.046865588807716,NM
175722.428103138,127805.1512510612,-27.268731356222997,TN
453137.3143107593,224203.52877580168,-50.521945181931315,CA
279728.2754361222,192067.68294591445,-31.33776603510561,MD
265432.0155677979,231386.7204796437,-12.826371007026527,NE
514149.3521867141,347368.5141133829,-32.43820834627144,GA
220275.87703905845,153248.7641212193,-30.428712312403672,WI
198002.6038308161,189677.6430430829,-4.204470358807244,OK
402454.2688854306,353803.2879668789,-12.088573703861371,NC
442890.1802633057,223165.3688612172,-49.61157894073388,AZ
375825.7765526821,334904.84603933245,-10.88827139231986,CO
123111.6075739469,130300.25467386952,5.839130234413337,NY
237571.69441780192,193201.11470699272,-18.676711390026767,MO
271810.6594861234,228890.14650328795,-15.790592268890268,OH
897029.2331048893,558336.6394243141,-37.75714114781496,CA
487821.3220002966,392043.4427663638,-19.633803385468784,VA
488951.9291435554,238831.30077498927,-51.154441461489995,CA
502150.2854998072,275179.6124919453,-45.1997498680998,FL
926707.0128937596,613881.629789523,-33.756665132747834,CA
209106.32415081697,200006.27473470577,-4.351876708208902,OK
392044.708161924,290400.0567952098,-25.92680101289173,MN
369297.48160655407,300467.25870234513,-18.638151174163696,CO
275634.85630851955,257939.36373157435,-6.419903786456727,TX
938231.7531133424,887361.937833522,-5.42188165248284,HI
291350.95312782703,262199.8426224646,-10.005496873240949,TN
229836.5679403958,207248.7350957432,-9.827780255799134,TX
297369.86494939827,271996.603512529,-8.532559760615587,LA
303915.4073393962,291944.0009382437,-3.939058735440637,LA
180218.49948801068,180599.02415099496,0.21114628302050242,KS
151476.5608877025,87040.5788968156,-42.53858261190434,OH
674331.4674222079,324538.79758267646,-51.87251177476515,CA
840865.916587615,517612.7758116095,-38.442887789747125,CA
473275.32564677024,305299.106060598,-35.492283346193624,WA
559477.6327360629,197845.82907331293,-64.63740148006096,CA
412852.94114594994,344951.3601921207,-16.446917094826986,GA
237810.84004288985,209687.9079538124,-11.825757010910609,SC
250617.70309500524,219649.42813944415,-12.356778700434223,NC
187007.66047184015,180061.1866051257,-3.7145397408789416,IN
290516.56861213286,264547.53054673923,-8.938918075982361,KY
908234.6087971051,502096.1611447923,-44.717349869569,FL
661356.7526202988,280730.06140278536,-57.55240113742977,NV
218268.8829985301,196833.6506993758,-9.82056260364821,TX
