2022-06-30,2023-02-28,Percent Gain,State
1322098.839998845,1268768.4867091654,-4.0337644717793,NY
1790872.1107365105,1720209.964741804,-3.945683534356126,CA
454035.20664484793,451031.0471098514,-0.6616578386500427,TX
536911.1984783587,511138.8338667066,-4.800116794861542,IL
398436.4558647263,393998.82193740754,-1.1137620220237454,TX
387675.6501593501,377123.8605473055,-2.721808709860263,PA
685980.9269680949,651260.9261978212,-5.061365324503919,AZ
604333.7070581411,567458.2744966577,-6.101832833549992,NV
1676324.5190414574,1525670.795904818,-8.987145473645231,CA
688135.8600421329,675012.0127774725,-1.907159330986885,TX
1055853.5836475631,966620.557424848,-8.451268964248793,TX
2021978.4576133164,1859984.125332753,-8.011674489933817,CA
441390.8885326996,440194.7028149319,-0.27100371775777843,FL
628674.5635538691,614975.9171799483,-2.178972582648009,NC
335806.3393130517,328291.51965555,-2.237843297680009,IN
450145.61354659934,435133.8405421322,-3.334870440298787,TX
521328.7279374921,518445.1953227305,-0.5531121651725424,FL
2351062.3044990725,2009650.3198174476,-14.52160514965033,CA
491132.9745534812,484938.5217317525,-1.261257773897273,AZ
356098.644585745,351858.90671280184,-1.1906076974472435,OH
881993.2240818684,898897.2198435804,1.9165675313785435,FL
380189.29337725934,380941.1632008272,0.19776196664795798,KY
285080.32137400337,292561.0093973102,2.6240632770624606,TX
978138.8509118486,916701.5055390224,-6.281045407362418,CO
1419580.806719567,1297144.4492682938,-8.6248247983998,WA
854212.721065232,795237.8564752036,-6.904002145564481,OR
753688.003432117,726158.000992639,-3.6527054051693764,TN
1194073.605023169,1119019.0125099958,-6.285591792452094,DC
683925.7079583863,634878.2546627125,-7.171459227945576,CA
1243955.7956607502,1179339.4349460928,-5.194425793911373,MA
146727.86529338572,132311.04407523884,-9.82555098809631,MI
399326.1299668129,390928.06682426506,-2.1030587563217518,PA
445631.8248913397,441774.162562455,-0.865661318023081,NM
283804.625953526,280588.14313619427,-1.1333440413541562,TN
516524.3468807852,496302.0081968528,-3.915079474191707,CA
321217.57982836064,315633.1508415514,-1.7385191027817326,MD
421797.7957466816,417866.5304474917,-0.9320260415848325,NE
761132.2020211875,742040.870741848,-2.5082805889229842,GA
