FREQ,Frequency,CURR_DENOM,Currency of denomination,BORROWERS_CTY,Borrowers' country,BORROWERS_SECTOR,Borrowers' sector,LENDERS_SECTOR,Lending sector,L_POS_TYPE,Position type,L_INSTR,Type of instruments,UNIT_MEASURE,Unit of measure,TITLE,UNIT_MULT,Unit Multiplier,DECIMALS,Decimals,COLLECTION,Collection Indicator,AVAILABILITY,Availability,Series,1977-Q4,1978-Q1,1978-Q2,1978-Q3,1978-Q4,1979-Q1,1979-Q2,1979-Q3,1979-Q4,1980-Q1,1980-Q2,1980-Q3,1980-Q4,1981-Q1,1981-Q2,1981-Q3,1981-Q4,1982-Q1,1982-Q2,1982-Q3,1982-Q4,1983-Q1,1983-Q2,1983-Q3,1983-Q4,1984-Q1,1984-Q2,1984-Q3,1984-Q4,1985-Q1,1985-Q2,1985-Q3,1985-Q4,1986-Q1,1986-Q2,1986-Q3,1986-Q4,1987-Q1,1987-Q2,1987-Q3,1987-Q4,1988-Q1,1988-Q2,1988-Q3,1988-Q4,1989-Q1,1989-Q2,1989-Q3,1989-Q4,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1
Q,Quarterly,EUR,Euro,3C,Developing Europe,N,"Non-banks, total",A,All sectors,I,Cross-border & Local in FCY,B,Credit (loans & debt securities),771,"Year-on-year changes, in per cent",,0,Units,2,Two,,,,,Q:EUR:3C:N:A:I:B:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.506,13.85,12.644,15.304,6.933,6.892,0.63,2.562,6.335,3.337,10.887,1.604,5.798,4.763,8.268,15.347,11.548,14.43,11.186,11.194,16.665,22.333,21.562,24.685,26.815,20.034,22.361,27.518,24.265,27.598,31.734,24.505,23.886,28.16,25.702,24.641,18.365,8.952,2.637,0.359,1.6,2.213,5.023,2.601,4.941,2.792,0.833,-0.687,-2.103,-2.874,-0.306,2.677,0.377,3.053,1.36,0.906,2.914,2.352,0.473,-0.192,1.401,4.156,6.84,4.376,6.261,4.676,5.435,10.809,7.423,11.059,8.644,9.484,12.831,7.592,9.906,5.796,3.169,4.557,5.269,4.344,6.965,4.546,0.369,3.071,-0.797,1.325,5.834,4.135,6.959,10.348,7.43,5.86,4.786
Q,Quarterly,EUR,Euro,3C,Developing Europe,N,"Non-banks, total",A,All sectors,I,Cross-border & Local in FCY,B,Credit (loans & debt securities),EUR,Euro,,6,Millions,0,Zero,,,,,Q:EUR:3C:N:A:I:B:EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56254.895,58952.349,59565.852,62935.377,60492.007,63625.479,60529.345,64833.496,64542.122,66253.042,67631.186,66313.636,68987.922,69633.072,73428.883,76711.502,76934.291,79688.215,81688.838,85399.689,89857.007,98338.724,100166.36,107284.838,114778.662,117977.167,122501.873,136726.982,145306.191,153399.205,164446.21,173585.503,180053.123,200673.066,210988.034,224477.854,221133.675,222294.343,219563.137,224696.519,224172.625,227027.362,231322.46,230925.944,235539.202,233308.952,232918.737,228866.645,230114.012,226003.5,231596.853,234828.781,230809.291,232755.9,234613.246,241831.866,242439.753,247136.42,244439.689,244399.056,248950.635,256591.29,259553.469,265552.764,275333.868,279562.375,285796.206,293801.091,295179.826,309896.002,309844.112,321533.264,332928.725,333318.825,340485.904,340025.771,343480.12,348418.017,357734.671,354187.911,366298.145,363233.416,358630.639,364674.978,363445.542,368102.931,379563.306,379711.998,356043.775,371976.23,372688.606,366844.022,371785.462
Q,Quarterly,EUR,Euro,3P,All countries excluding residents,N,"Non-banks, total",A,All sectors,I,Cross-border & Local in FCY,B,Credit (loans & debt securities),771,"Year-on-year changes, in per cent",,0,Units,2,Two,,,,,Q:EUR:3P:N:A:I:B:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.334,15.516,15.484,22.703,26.247,26.195,23.24,19.506,8.048,12.768,11.876,10.68,16.004,12.155,8.509,9.936,8.723,5.74,8.804,7.454,6.831,11.439,9.662,9.076,9.377,8.155,9.862,13.925,15.671,18.199,16.609,17.958,17.356,9,8.066,0.53,-6.711,-3.39,-5.36,-4.879,-0.175,-0.759,0.499,0.193,-0.054,-0.494,0.886,1.423,-1.591,-1.495,-2.312,-3.417,1.559,0.675,1.436,4.41,1.849,4.149,5.586,5.306,10.324,8.297,6.739,6.475,3.482,6.032,5.221,6.117,9.061,9.341,10.468,10.525,6.603,5.345,7.182,7.482,6.861,8.76,8.35,5.528,7.527,3.741,1.208,3.623,1.434,4.241,7.925,8.966,10.72,10.389,8.866,7.984,5.526
Q,Quarterly,EUR,Euro,3P,All countries excluding residents,N,"Non-banks, total",A,All sectors,I,Cross-border & Local in FCY,B,Credit (loans & debt securities),EUR,Euro,,6,Millions,0,Zero,,,,,Q:EUR:3P:N:A:I:B:EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847481.902,864092.495,914039.324,957204.953,1063935.389,1084703.619,1120993.654,1147044.179,1153099.842,1227267.883,1257882.785,1270579.306,1340759.184,1378814.08,1367022.466,1400136.804,1456663.879,1457422.143,1487257.583,1502857.831,1557119.332,1626427.584,1634619.181,1636022.194,1699795.109,1754109.453,1789125.296,1866281.767,1971009.489,2078395.197,2091429.676,2204532.189,2313778.172,2263171.038,2257254.39,2217869.914,2160057.265,2190377.101,2130101.598,2099538.885,2146641.539,2165797.387,2143724.158,2100970.72,2141623.664,2149958.126,2157291.64,2127445.026,2103276.649,2206255.127,2195227.629,2145466.611,2230348.169,2202005.866,2210944.644,2227464.389,2255051.283,2299978.739,2337338.669,2293596.614,2438056.426,2437866.322,2441430.108,2461970.718,2542920.22,2605325.269,2589796.738,2587833.351,2751524.539,2826130.942,2849783.332,2878646.709,2988311.88,3034452.756,3100868.274,3129594.177,3186019.673,3291229.521,3352187.115,3303396.638,3421171.134,3410025.298,3393408.84,3424993.799,3477793.488,3562341.812,3662489.449,3724161.425,3815689.815,3896487.562,3948678.055,3989929.506,4024783.248
Q,Quarterly,EUR,Euro,3P,All countries excluding residents,N,"Non-banks, total",A,All sectors,I,Cross-border & Local in FCY,D,Debt securities,771,"Year-on-year changes, in per cent",,0,Units,2,Two,,,,,Q:EUR:3P:N:A:I:D:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.112,27.321,23.507,23.526,23.604,26.258,19.349,19.035,17.345,16.253,18.494,14.06,12.731,12.402,12.698,12.557,9.198,7.063,7.143,6.594,9.117,7.376,6.053,6.947,5.835,6.558,7.624,9.827,11.427,14.596,8.748,5.224,1.77,-0.424,2.949,2.791,4.585,6.768,5.99,4.628,3.533,-1.517,-2.241,-3.436,-3.386,-2.183,-0.679,0.603,-1.612,-2.878,-2.387,-1.203,5.224,6.336,6.521,8.686,4.076,5.173,6.719,6.114,9.427,11.093,9.44,10.181,10.027,8.786,6.933,6.349,5.044,6.398,8.536,8.57,7.046,4.868,5.659,5.018,5.624,6.943,6.756,6.993,7.543,7.763,4.588,6.177,7.156,7.998,12.649,12.024,12.225,10.802,8.984,7.757,8.273
Q,Quarterly,EUR,Euro,3P,All countries excluding residents,N,"Non-banks, total",A,All sectors,I,Cross-border & Local in FCY,D,Debt securities,EUR,Euro,,6,Millions,0,Zero,,,,,Q:EUR:3P:N:A:I:D:EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457030.823,473277.21,503013.124,530850.997,564295.913,597151.473,600319.226,631635.519,662497.561,694631.908,711406.958,720678.795,747016.956,780883.83,801588.207,811230.884,815853.784,836111.276,859198.574,865056.607,890471.218,898030.535,911356.672,924959.474,942218.173,956730.594,980783.917,1015981.459,1050083.54,1096724.943,1066995.108,1069205.136,1068642.282,1092182.185,1098179.319,1098981.885,1117913.135,1165974.501,1164092.887,1149918.754,1157040.214,1147738.879,1137527.583,1109787.412,1117487.776,1122674.096,1129792.934,1116535.977,1099866.841,1090801.207,1103159.606,1103471.848,1157353.514,1159942.232,1175391.236,1199604.098,1204931.804,1220251.717,1254193.756,1272802.175,1318465.537,1355548.577,1372920.361,1402508.858,1450333.511,1474340.842,1467808.1,1491143.468,1523332.315,1568443.754,1592894.428,1619137.051,1629983.24,1644682.108,1682750.403,1689068.757,1711032.57,1747400.445,1786240.71,1808609.715,1844866.805,1888106.796,1878242.736,1930865.01,1984147.833,2046592.708,2115644.91,2155115.093,2218566.274,2259134.186,2297513.17,2322125.395,2401626.002
Q,Quarterly,EUR,Euro,3P,All countries excluding residents,N,"Non-banks, total",B,"Banks, total",I,Cross-border & Local in FCY,G,Loans and deposits,771,"Year-on-year changes, in per cent",,0,Units,2,Two,,,,,Q:EUR:3P:N:B:I:G:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.738,3.873,6.99,21.706,29.416,26.138,28.063,20.098,-2.421,8.52,4.267,6.539,20.422,11.841,3.083,6.518,8.115,3.996,11.142,8.623,3.921,16.905,14.604,11.973,14.131,10.159,12.72,19.255,20.944,22.51,26.115,33.141,35.132,19.532,13.398,-1.602,-16.409,-12.837,-16.08,-14.219,-4.138,0.137,3.798,4.582,3.845,1.417,2.661,2.34,-1.567,0.026,-2.086,-5.51,-2.003,-4.859,-3.721,-0.173,-0.59,3.004,4.298,4.361,11.513,5.126,3.532,1.85,-4.224,2.563,3.007,5.81,14.513,13.289,13.08,13.202,6.038,5.89,9.085,10.621,8.34,10.892,10.228,3.808,7.509,-0.838,-2.669,0.484,-5.276,-0.437,2.069,5.015,8.719,9.836,8.703,8.295,1.701
Q,Quarterly,EUR,Euro,3P,All countries excluding residents,N,"Non-banks, total",B,"Banks, total",I,Cross-border & Local in FCY,G,Loans and deposits,EUR,Euro,,6,Millions,0,Zero,,,,,Q:EUR:3P:N:B:I:G:EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390451.078,390815.286,411026.2,426353.956,499639.477,487552.146,520674.429,515408.661,490602.281,532635.975,546475.827,549900.511,593742.228,597930.251,565434.259,588905.92,640810.095,621310.867,628059.009,637801.224,666648.114,728397.049,723262.509,711062.72,757576.936,797378.859,808341.38,850300.308,920925.949,981670.254,1024434.569,1135327.053,1245135.89,1170988.853,1159075.071,1118888.029,1042144.13,1024402.6,966008.711,949620.131,989601.325,1018058.508,1006196.575,991183.308,1024135.888,1027284.03,1027498.706,1010909.048,1003409.808,1115453.92,1092068.023,1041994.763,1072994.655,1042063.633,1035553.408,1027860.292,1050119.479,1079727.022,1083144.913,1020794.439,1119590.889,1082317.745,1068509.747,1059461.859,1092586.709,1130984.427,1121988.638,1096689.883,1228192.224,1257687.188,1256888.904,1259509.658,1358328.64,1389770.649,1418117.872,1440525.42,1474987.103,1543829.076,1565946.405,1494786.923,1576304.329,1521918.503,1515166.104,1494128.789,1493645.656,1515749.105,1546844.539,1569046.333,1597123.542,1637353.377,1651164.885,1667804.111,1623157.246
Q,Quarterly,EUR,Euro,3P,All countries excluding residents,P,Non-financial sectors,A,All sectors,I,Cross-border & Local in FCY,D,Debt securities,771,"Year-on-year changes, in per cent",,0,Units,2,Two,,,,,Q:EUR:3P:P:A:I:D:771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.881,16.845,17.501,13.041,12.557,14.411,6.163,7.447,4.904,2.629,5.068,1.429,1.912,2.913,6.61,5.338,2.896,1.085,0.305,4.114,8.143,7.709,5.43,5.009,4.537,2.434,4.279,5.418,3.05,8.461,6.991,6.261,5.818,4.554,4.788,3.769,6.511,14.03,14.779,13.351,15.182,5.943,5.202,5.07,4.167,6.298,9.146,8.284,2.883,1.155,1.616,4.929,18.687,17.546,16.224,18.715,8.887,10.94,11.416,9.778,11.251,13.649,11.935,12.697,14.355,13.169,11.6,11.044,8.955,10.124,11.574,10.5,9.072,5.842,6.988,6.815,6.859,7.411,6.913,7.696,8.335,9.151,5.77,8.405,10.835,12.243,19.231,16.732,16.175,14.076,11.54,10.465,10.988
Q,Quarterly,EUR,Euro,3P,All countries excluding residents,P,Non-financial sectors,A,All sectors,I,Cross-border & Local in FCY,D,Debt securities,EUR,Euro,,6,Millions,0,Zero,,,,,Q:EUR:3P:P:A:I:D:EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268340.543,274029.402,287063.478,290936.464,301465.066,313102.46,304513.232,312321.175,316284.811,321521.973,320073.595,316916.022,322513.674,330908.085,341119.273,333754.381,331736.385,334403.604,342219.887,347650.715,358916.909,360205.743,360788.455,364889.149,374999.179,368968.349,376254.277,384734.265,386625.58,400337.986,402739.395,409012.523,409141.964,418665.986,422097.405,424518.264,435953.115,477203.22,484230.357,480900.568,501713.166,505236.033,509107.545,504913.47,522365.72,537033.716,555649.499,546677.47,537806.607,543642.041,564997.728,574085.269,638324.851,639069.982,656857.914,681710.73,695316.924,709187.706,731746.474,748289.705,773506.635,805837.873,819194.937,843243.129,884126.084,911624.731,913893.316,936006.026,963187.218,1003840.976,1019495.657,1034377.627,1050090.083,1062285.373,1090529.176,1093749.274,1111340.561,1129722.893,1155881.248,1179397.301,1208898.498,1238359.978,1232795.771,1289409.905,1347463.529,1397707.557,1469752.724,1497488.512,1557426.138,1586274.676,1631297.181,1654268.129,1728416.876
