"BIS Statistics Explorer"
"Table E2-USD","Total credit to non-bank borrowers by currency of denomination: $(DESC:MEAS)"
"Dataset","Global liquidity indicators (GLI)"
"Data updated",17/07/2023 16:38
"Data URL","http://stats.bis.org:8089/statx/srs/table/e2?m=USD&f=csv"
"Frequency","Currency of denomination","Borrowers' country","Borrowers' sector","Lending sector","Position type","Type of instruments","Unit of measure","Period",31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020,31/12/2020,31/03/2021,30/06/2021,30/09/2021,31/12/2021,31/03/2022,30/06/2022,30/09/2022,31/12/2022,31/03/2023
"Q:Quarterly","USD:US dollar","CN:China","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:CN:N:A:I:B:771,-18.657,-18.817,-15.698,-18.443,-18.77,18.804,-2.845,-2.607,-5.5,-4.536,20.052,-25.234,1.398,-28.916,-31.856,4.163,-10.041,-19.379,-5.591,7.491,-1.33,30.856,27.48,27.968,11.097,14.121,4.5,-6.824,14.887,28.108,24.147,32.901,72.594,69.767,67.199,32.291,-14.511,-31.364,-24.722,5.702,32.155,36.23,33.232,27.436,16.221,25.581,29.418,21.77,21.702,17.453,19.041,28.144,39.797,36.904,29.011,20.609,18.288,17.078,13.504,6.578,-5.174,-5.058,-10.688,-17.016,-23.165,-25.092,-18.485,-8.694,2.213,5.038,4.762,7.214,6.56,2.228,-1.908,-7.151,-8.688,-5.744,-2.551,3.023,5.982,10.193,11.124,3.566,7.728,4.729,5.653,8.728,3.906,-1.769,-9.488,-17.206,-19.484
"Q:Quarterly","USD:US dollar","KR:Korea","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:KR:N:A:I:B:771,8.014,9.767,7.747,5.313,8.443,-4.644,1.431,20.402,19.361,21.855,25.993,5.477,-13.296,-14.529,-19.282,-10.098,-0.525,3.575,4.602,8.224,10.077,8.584,10.61,13.294,13.5,16.098,21.032,26.334,22.038,24.352,13.906,11.67,15.191,30.761,37.907,19.608,7.854,-6.637,-8.758,5.268,18.864,9.135,6.831,3.978,11.57,10.675,13.848,8.742,-0.662,-0.041,-3.516,-5.464,-0.516,0.964,1.628,11.152,10.648,9.033,12.142,10.231,2.274,1.042,-4.208,-7.878,-7.753,-5.837,-3.687,-1.722,0.281,-0.598,-0.493,1.45,2.003,7.507,9.115,6.865,1.286,2.944,1.185,4.179,10.162,3.623,2.338,2.517,7.29,11.817,14.809,16.207,16.14,15.592,13.761,9.567,4.228
"Q:Quarterly","USD:US dollar","3C:Developing Europe","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:3C:N:A:I:B:771,-3.727,1.868,23.395,26.69,28.828,23.575,2.951,-0.364,1.29,2.468,3.85,6.385,10.731,15.097,18.368,18.891,17.663,16.751,10.779,14.05,13.554,13.587,15.969,24.276,24.677,25.756,22.098,10.994,12.978,22.985,38.893,43.373,41.218,34.182,23.04,4.292,-4.337,-10.665,-16.937,-12.064,-8.096,-6.81,2.98,4.443,6.428,7.985,3.611,8.354,5.027,4.442,6.773,5.785,19.035,21.615,20.922,20.733,10.472,5.068,1.466,-1.839,-6.737,-5.779,-7.806,-10.949,-7.781,-7.402,-5.891,-4.482,-6.015,-7.173,-7.122,-4.968,-6.037,-9.125,-9.476,-12.268,-10.982,-9.7,-8.126,-5.401,-6.246,-5.139,-3.677,-0.322,2.155,4.462,5.328,5.102,3.385,2.117,-5.171,-6.397,-3.491
"Q:Quarterly","USD:US dollar","3P:All countries excluding residents","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:3P:N:A:I:B:USD,2329237.912,2346650.808,2390756.17,2486465.165,2574597.063,2598887.191,2569096.167,2608671.141,2614932,2613391.676,2660514.843,2640177.554,2790699.539,2851566.92,2945639.259,3019292.983,3179345.406,3219568.353,3275706.511,3403925.74,3504525.599,3558812.963,3676403.825,3795436.452,4032759.798,4191908.793,4298249.263,4609186.799,4872393.881,5217702.044,5345243.62,5527218.552,5897533.366,6021625.466,6080436.845,5789655.828,5845048.243,5895952.891,5987756.42,6114523.321,6488546.277,6462039.382,6773137.34,6988073.905,7233225.252,7427384.341,7607933.521,7593226.523,7722136.747,7695115.928,7845656.146,8128681.624,8443688.922,8566263.913,8642185.401,8814566.321,9106684.188,9238340.841,9419084.766,9390542.677,9663144.222,9840850.403,9855236.028,9924933.852,10070268.974,10291806.651,10468898.592,10454887.993,10681433.688,10795466.416,11015412.861,11115668.143,11348564.851,11438074.293,11449950.388,11564292.09,11727028.792,11820145.028,12001008.832,12111835.513,12569402.805,12580390.064,12627156.472,12722162.365,13039662.567,13196711.886,13412736.42,13422000.619,13396985.767,13288263.258,13086889.581,12821168.928,12899779.765
"Q:Quarterly","USD:US dollar","CL:Chile","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:CL:N:A:I:B:771,1.45,-5.285,1.71,-1.325,-1.228,4.037,-2.842,4.377,1.889,-0.208,3.887,5.634,15.964,16.321,17.604,12.127,6.111,7.373,6.262,4.484,3.314,4.694,2.737,4.06,1.168,3.55,6.017,11.217,13.016,7.916,7.304,4.618,9.707,18.209,24.197,16.193,12.572,-2.001,-6.593,5.738,1.787,15.952,18.912,18.17,29.013,29.107,27.182,19.408,14.61,6.274,6.964,13.199,10.381,14.001,11.968,-6.778,-6.354,-8.425,-5.228,10.596,12.527,16.197,13.579,8.394,7.027,1.252,-0.168,-0.313,-1.259,1.683,7.17,9.85,12.109,14.159,7.227,7.345,6.542,8.132,10.48,9.306,12.358,10.051,7.043,3.064,0.563,1.775,10.063,16.957,22.007,18.685,10.385,7.438,2.801
"Q:Quarterly","USD:US dollar","3P:All countries excluding residents","P:Non-financial sectors","A:All sectors","I:Cross-border & Local in FCY","D:Debt securities","771:Year-on-year changes, in per cent",Q:USD:3P:P:A:I:D:771,8.857,6.548,11.442,12.479,10.848,10.307,5.948,4.442,4.319,4.058,3.241,2.704,1.361,1.876,3.308,4.979,6.503,6.941,4.632,4.698,3.831,1.84,2.383,1.759,2.568,2.331,3.542,3.257,3.609,6.516,5.869,4.744,3.452,3.76,5.41,5.771,8.809,11.229,13.009,17.659,16.898,14.201,13.661,12.358,13.401,13.346,12.457,12.369,11.905,13.187,12.743,14.52,14.153,13.894,14.056,12.011,11.122,9.746,9.93,9.718,8.743,7.901,6.094,4,4.176,5.419,5.461,7.881,7.793,7.073,8.584,7.577,6.996,6.567,3.446,2.445,2.11,1.547,3.607,3.926,4.209,9.511,11.472,12.003,12.871,8.558,7.413,6.381,4.564,2.221,-0.206,-0.748,-0.135
"Q:Quarterly","USD:US dollar","4T:Emerging market and developing economies","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","D:Debt securities","771:Year-on-year changes, in per cent",Q:USD:4T:N:A:I:D:771,9.293,5.048,15.057,12.914,10.736,11.145,2.187,2.386,3.058,3.835,4.332,6.399,4.124,3.461,4.739,5.514,7.995,8.992,8.164,7.79,6.804,3.687,3.384,3.973,6.5,6.143,6.742,8.422,5.342,10.493,8.578,6.491,4.63,3.027,3.617,-1.32,0.728,1.526,5.753,13.838,15.555,17.112,15.535,12.553,12.88,12.882,11.299,12.609,13.468,13.057,14.75,15.698,14.727,16.376,15.745,15.034,14.186,12.425,11.711,9.925,9.56,8.908,7.102,5.528,5.492,7.896,9.585,13.305,14.754,13.922,15.265,14.627,14.13,13.533,9.879,8.071,7.409,4.898,8.42,9.223,9.166,13.864,12.459,12.578,13.587,9.717,11.118,9.32,7.094,5.578,1.583,0.072,-0.212
"Q:Quarterly","USD:US dollar","MX:Mexico","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:MX:N:A:I:B:771,1.116,-1.14,0.045,-1.686,7.109,4.415,3.895,0.55,-3.323,-1.772,-3.113,2.299,-10.648,-12.339,-15.079,-16.01,-5.094,-2.026,5.861,4.666,6.315,5.47,-1.934,0.2,-5.88,1.067,3.612,-3.241,0.502,-3.335,2.265,-4.527,6.812,4.994,8.062,18.367,4.707,1.299,-6.992,0.995,5.11,10.647,13.733,9.148,5.98,7.553,10.067,10.671,14.559,13.511,11.592,9.059,5.344,9.253,8.487,15.928,19.269,14.465,14.506,12.349,12.306,10.874,10.797,7.963,9.456,11.307,9.552,6.431,0.965,-0.636,4.288,4.473,9.142,8.665,3.453,6.435,4.729,6.936,9.223,7.291,11.804,11.25,8.172,6.972,3.086,2.768,3.749,6.864,4.234,3.357,2.719,0.078,2.826
"Q:Quarterly","USD:US dollar","AR:Argentina","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:AR:N:A:I:B:USD,70021.41,70756.175,73096.869,70174.343,72455.058,80451.781,81181.051,81455.511,80827.644,78804.238,76404.81,75768.19,73664.635,72587.933,70231.899,69527.581,67516.768,64989.768,63169.601,62810.569,62409.646,43271.731,43460.37,43256.535,43361.018,43652.501,44117.692,45517.867,45549.576,47765.653,51293.83,51791.023,52419.631,52276.862,53088.357,44708.765,43655.824,43033.967,39652.17,38534.435,39030.321,40989.704,42852.822,44967.873,47597.017,48267.978,49237.757,48588.465,47981.73,46671.485,44611.238,42456.84,41659.783,42073.331,40374.45,39755.228,39867.476,41479.759,40341.24,39297.937,40064.376,42232.935,41372.013,41905.855,45621.454,67794.887,74772.044,76419.185,89105.013,101180.643,106433.552,110483.167,123350.312,122251.582,123205.353,120356.931,120811.554,116474.619,114408.531,110700.611,108124.087,105194.838,101579.5,100188.681,98399.622,92072.789,91180.553,88386.343,81575.706,80731.192,80573.016,80006.712,76203.276
"Q:Quarterly","USD:US dollar","IN:India","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:IN:N:A:I:B:771,-15.843,-13.901,-6.832,-10.265,-3.877,-7.237,-16.723,-17.349,-17.106,-17.81,-10.978,-6.798,-6.714,0.434,3.849,2.761,19.186,29.078,23.417,34.844,36.628,26.489,36.744,34.451,43.879,63.031,52.64,56.613,46.463,43.735,47.698,53.751,51.147,39.272,32.565,21.366,11.22,0.863,4.879,6.542,9.103,19.667,21.772,21.917,16.64,19.505,19.275,10.642,15.443,11.502,4.841,16.26,12.304,6.504,2.761,1.803,3.764,4.496,8.972,-1.187,-4.106,-2.567,-0.615,-1.763,1.197,-4.008,-7.933,-3.453,-6.38,-7.177,-0.711,1.072,1.265,3.556,0.753,-0.082,5.422,12.521,16.743,21.659,23.099,14.4,2.281,-4.722,-6.483,-2.422,6.296,7.916,6.932,4.722,0.957,-0.988,-7.666
